coin,exchange,time,open,high,low,close,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
DTB,Bittrex,2018-01-10 05:30:00,0.0001384,0.00015,0.00013240000000000002,0.0001348,70.27,67.66399863793242,0.0,9.308500000000001e-05,9.308500000000001e-05,9.308500000000001e-05,-0.3363417931783488,-69.33418910592982
DTB,Bittrex,2018-01-11 05:30:00,0.0001348,0.00014040000000000002,0.00011690000000000001,0.0001236,31.36,62.11488040024887,0.0,9.602000000000002e-05,9.602000000000002e-05,9.602000000000002e-05,-7.53487810194099,-82.81231676550433
DTB,Bittrex,2018-01-12 05:30:00,0.0001236,0.0001678,0.00011850000000000001,0.00016,93.09,70.56402570411487,0.0,0.00010014500000000001,0.00010014500000000001,0.00010014500000000001,10.452287139303152,-19.178787353739622
DTB,Bittrex,2018-01-13 05:30:00,0.00016,0.00016659999999999998,0.00013759999999999998,0.00014680000000000002,55.99,64.91053675433429,0.0,0.00010363,0.00010363,0.00010363,10.34877534288492,-39.64409769856708
DTB,Bittrex,2018-01-14 05:30:00,0.00014680000000000002,0.00015,0.00013000000000000002,0.0001406,22.73,62.382415908585074,0.0,0.00010635999999999998,0.00010635999999999998,0.00010635999999999998,9.79956821317883,-38.280297698567075
DTB,Bittrex,2018-01-15 05:30:00,0.0001406,0.000145,0.00012119999999999999,0.00013330000000000001,31.93,59.44662135910151,0.0,0.00010917499999999998,0.00010917499999999998,0.00010917499999999998,8.854771394748063,-37.74365904310484
DTB,Bittrex,2018-01-16 05:30:00,0.00013330000000000001,0.00013340000000000002,8.98e-05,9.36e-05,47.8,46.60202204606686,0.0,0.00011034999999999999,0.00011034999999999999,0.00011034999999999999,-4.89468058312336,-77.21154895136172
DTB,Bittrex,2018-01-17 05:30:00,9.36e-05,0.00010549999999999999,9.03e-05,9.96e-05,12.61,48.416088055176864,0.0,0.00011131499999999999,0.00011131499999999999,0.00011131499999999999,-9.177003372734191,-74.39089105662488
DTB,Bittrex,2018-01-18 05:30:00,9.96e-05,0.0001118,9.259999999999999e-05,0.00010390000000000002,13.08,49.73405351049829,0.0,0.000112135,0.000112135,0.000112135,-9.357601025508224,-72.07464105662484
DTB,Bittrex,2018-01-19 05:30:00,0.00010390000000000002,0.00013619999999999998,9.9e-05,0.00011279999999999999,39.73,52.44246898866862,0.0,0.00011374,0.00011374,0.00011374,-11.843078271171635,-82.32754428243129
