,circulating_supply,id,last_updated,market_cap_BTC,market_cap_USD,max_supply,name,price_BTC,rank,symbol,total_supply,volume_24hour_BTC,volume_24hour_USD,website_slug
131,695953300.0,2071.0,1527678265.0,13484.0,101284868.0,,Request Network,1.93751e-05,129.0,REQ,999991788.0,369.7096938246,2777030.0,request-network
132,109047261.0,1758.0,1527678258.0,13434.0,100905356.0,,TenX,0.0001231912,130.0,PAY,205218256.0,779.0605720919,5851820.0,tenx
133,41802605.0,558.0,1527678245.0,13295.0,99860571.0,,Emercoin,0.0003180321,131.0,EMC,41802605.0,191.2338345284,1436430.0,emercoin
134,135787539.0,1772.0,1527678259.0,13109.0,98463754.0,,Storj,9.65377e-05,132.0,STORJ,424999998.0,559.8105807455,4204950.0,storj
135,1050141509.0,1966.0,1527678263.0,13095.0,98363500.0,,Decentraland,1.247e-05,133.0,MANA,2644403343.0,545.7093104063,4099030.0,decentraland
136,40041673.0,2162.0,1527678267.0,12821.0,96301824.0,,Delphy,0.0003201862,134.0,DPY,100000000.0,410.1629793726,3080890.0,delphy
137,29702632.0,2345.0,1527678272.0,12107.0,90938469.0,,High Performance Blockchain,0.0004075989,135.0,HPB,100000000.0,820.7865931427,6165240.0,high-performance-blockchain
138,660755177.0,2644.0,1527678279.0,12024.0,90317964.0,,eosDAC,1.81976e-05,136.0,EOSDAC,1200000000.0,607.4609459247,4562870.0,eosdac
139,93196613.0,2545.0,1527678276.0,12019.0,90280025.0,,Arcblock,0.000128965,137.0,ABT,186000000.0,2356.6774680551,17701900.0,arcblock
140,1445976590.0,2043.0,1527678264.0,12002.0,90153748.0,,Cindicator,8.3005e-06,138.0,CND,2000000005.0,132.1976787222,992987.0,cindicator
141,99156976.0,1408.0,1527678252.0,11836.0,88908111.0,,Iconomi,0.0001193709,139.0,ICN,99156976.0,72.3271888787,543277.0,iconomi
142,539673260.0,2424.0,1527678274.0,11640.0,87430846.0,,SingularityNET,2.15682e-05,140.0,AGI,1000000000.0,127.7606777982,959659.0,singularitynet
143,501744473.0,2552.0,1527678277.0,11472.0,86169094.0,,IHT Real Estate Protocol,2.28638e-05,141.0,IHT,1000000000.0,1592.5036411418,11961900.0,iht-real-estate-protocol
144,1288862.0,467.0,1527678244.0,11216.0,84243899.0,,BitcoinDark,0.008701863,142.0,BTCD,1288862.0,42.2713269732,317516.0,bitcoindark
145,2361679677.0,2235.0,1527678269.0,11209.0,84197659.0,,Time New Bank,4.7463e-06,143.0,TNB,5541679677.0,1457.3620293475,10946800.0,time-new-bank
