id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
11919,915.13761468,0.018943348623875998,2.07e-05,183.49889624,0.0051618239512312,2.813e-05,EBST,Bittrex,1527917899280
11920,11940.23778814,0.246565910325091,2.065e-05,4780.58683508,0.1346213252758528,2.816e-05,EBST,Bittrex,1527917899280
11921,267.0,0.00548418,2.054e-05,24.05,0.0006774885,2.817e-05,EBST,Bittrex,1527917899280
11922,14587.63151271,0.29933819864080924,2.052e-05,1266.6,0.035806781999999995,2.827e-05,EBST,Bittrex,1527917899280
11923,2490.4846587,0.051079840349937,2.051e-05,714.1428857,0.020195960807596,2.828e-05,EBST,Bittrex,1527917899280
11924,514.34603138,0.01054409364329,2.05e-05,543.23024932,0.015373416055756,2.83e-05,EBST,Bittrex,1527917899280
11925,6767.0,0.13811447,2.041e-05,4470.0,0.1266351,2.833e-05,EBST,Bittrex,1527917899280
11926,66889.48506479,1.3645454953217162,2.04e-05,384.4,0.010893895999999998,2.834e-05,EBST,Bittrex,1527917899280
11927,50.0,0.0010195,2.039e-05,276.76765271,0.007860201336963999,2.84e-05,EBST,Bittrex,1527917899280
11928,7356.24066677,0.1496259351621018,2.034e-05,1296.76685485,0.036893017020482505,2.845e-05,EBST,Bittrex,1527917899280
11929,100.0,0.002033,2.033e-05,32.0,0.00091072,2.846e-05,EBST,Bittrex,1527917899280
11930,392.88606808,0.0079638005999816,2.027e-05,500.0,0.01424,2.848e-05,EBST,Bittrex,1527917899280
11931,49.25751641,0.012183846684013502,0.00024735,49.27655519,0.0123191387975,0.00025,VRM,Bittrex,1527917899599
11932,111.98480649,0.027604254799784997,0.0002465,8.32453735,0.0021056917226825,0.00025295,VRM,Bittrex,1527917899599
11933,65.0,0.015990650000000002,0.00024601,14.11122318,0.003634345530009,0.00025755,VRM,Bittrex,1527917899599
11934,220.54193666,0.05411437499826421,0.00024537,70.0,0.018403,0.0002629,VRM,Bittrex,1527917899599
11935,2.0356312,0.0004987500003119999,0.00024501,16.62367068,0.0043881503493996,0.00026397,VRM,Bittrex,1527917899599
11936,31.25107129,0.00765651246605,0.000245,279.47918729,0.07379088982017872,0.00026403,VRM,Bittrex,1527917899599
11937,503.39128547,0.1182315112183389,0.00023487,497.45203878,0.1313472363194712,0.00026404,VRM,Bittrex,1527917899599
11938,503.41271915,0.118231511219569,0.00023486,36.93088662,0.009778560159243601,0.00026478,VRM,Bittrex,1527917899599
11939,102.03232073,0.023926579211185,0.0002345,121.4565223,0.032184763844277,0.00026499,VRM,Bittrex,1527917899599
11940,2.27785457,0.0005285989315142,0.00023206,6.37942103,0.0017133849002373997,0.00026858,VRM,Bittrex,1527917899599
11941,50.0,0.0116025,0.00023205,75.708494,0.0203958682836,0.0002694,VRM,Bittrex,1527917899599
11942,43.36956522,0.0099750000006,0.00023,75.010874,0.02037145316092,0.00027158,VRM,Bittrex,1527917899599
11943,50.0,0.01125,0.000225,1.95,0.0005341634999999999,0.00027393,VRM,Bittrex,1527917899599
11944,70.0,0.01554,0.000222,30.0,0.0084,0.00028,VRM,Bittrex,1527917899599
11945,14.83371637,0.0032917499996666997,0.00022191,124.6,0.035261799999999996,0.000283,VRM,Bittrex,1527917899599
11946,248.55031692,0.0541143749998224,0.00021772,23.0,0.0065308499999999995,0.00028395,VRM,Bittrex,1527917899599
11947,2.35,0.00050008,0.0002128,56.97151424,0.016282458769792,0.0002858,VRM,Bittrex,1527917899599
11948,50.0,0.0105775,0.00021155,40.28070276,0.0115472690602092,0.00028667,VRM,Bittrex,1527917899599
11949,97.39411183,0.0206017764753999,0.00021153,277.30849387,0.07958753774069,0.000287,VRM,Bittrex,1527917899599
11950,100.0,0.02115,0.0002115,66.18837,0.019194627300000003,0.00029,VRM,Bittrex,1527917899599
11951,2.48139291,0.0004987599749099999,0.000201,30.43378477,0.0089183162890008,0.00029304,VRM,Bittrex,1527917899599
11952,225.0,0.045000000000000005,0.0002,18.33904671,0.005398648570489801,0.00029438,VRM,Bittrex,1527917899599
11953,5.00753012,0.000997499999904,0.0001992,10.9950576,0.0032548669013280004,0.00029603,VRM,Bittrex,1527917899599
11954,50.0,0.00975,0.000195,1.82203684,0.0005445521503708,0.00029887,VRM,Bittrex,1527917899599
11955,293.36644801,0.0541143749999246,0.00018446,110.0,0.032876800000000005,0.00029888,VRM,Bittrex,1527917899599
11956,208.42391304,0.03834999999936,0.000184,15.02794188,0.0045079317257435995,0.00029997,VRM,Bittrex,1527917899599
11957,2.75,0.0005027,0.0001828,106.87436012,0.032062308036,0.0003,VRM,Bittrex,1527917899599
11958,3.57052057,0.0006074169593684,0.00017012,51.32744205,0.015398745889420501,0.00030001,VRM,Bittrex,1527917899599
11959,49.0,0.00833539,0.00017011,3.35313958,0.0010127152159516,0.00030202,VRM,Bittrex,1527917899599
11960,100.0,0.017,0.00017,1.8,0.000552384,0.00030688,VRM,Bittrex,1527917899599
11961,100.0,0.01628,0.0001628,5.24,0.0016101472,0.00030728,VRM,Bittrex,1527917899599
11962,3.3,0.00050424,0.0001528,10.0,0.0030800000000000003,0.000308,VRM,Bittrex,1527917899599
11963,29.2,0.004448036,0.00015233,33.47056264,0.0103260032800664,0.00030851,VRM,Bittrex,1527917899599
11964,100.0,0.014395999999999999,0.00014396,3.58721347,0.0011104219296385,0.00030955,VRM,Bittrex,1527917899599
11965,70.24647887,0.009974999999540001,0.000142,89.47563935,0.027699868429972997,0.00030958,VRM,Bittrex,1527917899599
11966,50.00000001,0.007000000001399999,0.00014,7.3115325,0.0022665019596750003,0.00030999,VRM,Bittrex,1527917899599
11967,7.20632857,0.0009975000006594,0.00013842,9.73468245,0.0030177515594999997,0.00031,VRM,Bittrex,1527917899599
11968,9.0,0.0011697300000000001,0.00012997,48.4576902,0.015035936692158,0.00031029,VRM,Bittrex,1527917899599
11969,4.34308582,0.0004987599755688,0.00011484,42.86097309,0.0134364864539841,0.00031349,VRM,Bittrex,1527917899599
11970,6.42768076,0.0007076876516760001,0.0001101,119.50617945,0.0377639527062,0.000316,VRM,Bittrex,1527917899599
11971,400.0,0.044036,0.00011009,5.68,0.0017995943999999998,0.00031683,VRM,Bittrex,1527917899599
11972,2000.0,0.22010000000000002,0.00011005,6.0055155,0.0019037484135,0.000317,VRM,Bittrex,1527917899599
11973,2000.0,0.18098,9.049e-05,1.82109557,0.0005806016896273999,0.00031882,VRM,Bittrex,1527917899599
11974,2000.0,0.16097999999999998,8.049e-05,57.522425,0.0183485031265,0.00031898,VRM,Bittrex,1527917899599
11975,2000.0,0.14098,7.049e-05,99.10169115,0.031711550151088494,0.00031999,VRM,Bittrex,1527917899599
11976,11.53580488,0.0006979161952400001,6.05e-05,9.8901035,0.0031648331200000005,0.00032,VRM,Bittrex,1527917899599
11977,2000.0,0.12097999999999999,6.049e-05,111.71697825,0.0357505502097825,0.00032001,VRM,Bittrex,1527917899599
11978,2000.0,0.10096,5.048e-05,15.0,0.00482385,0.00032159,VRM,Bittrex,1527917899599
11979,3000.0,0.12561,4.187e-05,6.0,0.00193344,0.00032224,VRM,Bittrex,1527917899599
11980,3500.0,0.12334,3.524e-05,60.0,0.0193722,0.00032287,VRM,Bittrex,1527917899599
11981,22.33500976,0.0006155528689856,2.756e-05,476.477518,0.15403565201904,0.00032328,VRM,Bittrex,1527917899599
11982,1810.0,0.0498655,2.755e-05,530.37258871,0.17263627762510497,0.0003255,VRM,Bittrex,1527917899599
11983,4000.0,0.11004,2.751e-05,38.0,0.01238762,0.00032599,VRM,Bittrex,1527917899599
11984,100.0,0.002148,2.148e-05,11.0,0.00359898,0.00032718,VRM,Bittrex,1527917899599
11985,829.89536463,0.017809554524959803,2.146e-05,212.78962869,0.07000778783900999,0.000329,VRM,Bittrex,1527917899599
11986,,,,478.73953405,0.1579840462365,0.00033,VRM,Bittrex,1527917899599
11987,,,,53.9404805,0.017860232498355,0.00033111,VRM,Bittrex,1527917899599
